Photo Tournament Log
===========================
Round 1, Match 35: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (154) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (155) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (155) — копия.png, Decision Time: 0.00s
Round 1, Match 35: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (154) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (155) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (154) — копия.png, Decision Time: 0.03s
Round 1, Match 37: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (158) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (159) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (159) — копия.png, Decision Time: 0.00s
Round 1, Match 37: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (158) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (159) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (158) — копия.png, Decision Time: 0.07s
Round 1, Match 39: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (160) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (161) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (161) — копия.png, Decision Time: 0.00s
Round 1, Match 39: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (160) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (161) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (160) — копия.png, Decision Time: 0.07s
Round 1, Match 41: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (164) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (165) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (165) — копия.png, Decision Time: 0.00s
Round 1, Match 42: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (166) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (167) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (166) — копия.png, Decision Time: 0.00s
Round 1, Match 43: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (168) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (169) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (169) — копия.png, Decision Time: 0.02s
Round 1, Match 44: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (17) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (17).png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (17) — копия.png, Decision Time: 0.00s
